"YEAR", "DDD", "MM", "DD", "HH", "mm", "hh.mmm", "ZNAGL", "dw_psp", "qc", "uw_psp", "qc", "direct", "qc", "diffuse", "qc", "dw_pir", "qc", "dwCasTmp", "qc", "dwDomTmp", "qc", "uw_pir", "qc", "uwCastmp", "qc", "uwDomtmp", "qc", "uvb", "qc", "par", "qc", "netSolar", "qc", "netIr", "qc", "totalNet", "qc", "temp", "qc", "rh", "qc", "windSp", "qc", "winsDir", "qc", "Baro", "qc"
2005,190,7,9,0,0,0.000,75.74,166.4,0,44.4,0,490.9,0,58.0,0,365.1,0,304.8,0,304.1,0,450.1,0,301.5,0,301.5,0,8.7,0,73.8,0,134.6,0,-85.1,0,49.5,0,27.1,0,53.7,0,2.4,0,24.2,0,991.3,0
2005,190,7,9,0,3,0.050,76.28,165.6,0,44.6,0,508.5,0,58.1,0,364.4,0,304.6,0,304.0,0,450.3,0,301.4,0,301.4,0,8.2,0,73.3,0,134.1,0,-85.9,0,48.2,0,27.0,0,53.5,0,2.5,0,23.2,0,991.3,0
2005,190,7,9,0,6,0.100,76.82,158.7,0,43.2,0,507.2,0,56.1,0,363.8,0,304.5,0,303.8,0,449.6,0,301.3,0,301.3,0,7.6,0,70.2,0,128.5,0,-85.8,0,42.6,0,27.0,0,54.3,0,2.4,0,26.8,0,991.2,0
2005,190,7,9,0,9,0.150,77.37,149.7,0,41.1,0,495.4,0,54.2,0,363.1,0,304.4,0,303.7,0,448.8,0,301.2,0,301.2,0,7.1,0,66.4,0,121.4,0,-85.7,0,35.7,0,27.0,0,53.8,0,2.4,0,30.9,0,991.2,0
2005,190,7,9,0,12,0.200,77.91,141.2,0,39.0,0,485.1,0,52.3,0,363.0,0,304.2,0,303.6,0,448.0,0,301.1,0,301.1,0,6.5,0,62.7,0,114.9,0,-85.0,0,29.9,0,27.0,0,53.0,0,2.2,0,31.8,0,991.2,0
2005,190,7,9,0,15,0.250,78.44,131.8,0,36.7,0,470.0,0,50.1,0,362.5,0,304.1,0,303.4,0,446.9,0,301.1,0,301.1,0,6.0,0,58.9,0,107.6,0,-84.4,0,23.2,0,27.0,0,52.7,0,2.1,0,30.6,0,991.2,0
2005,190,7,9,0,18,0.300,78.98,125.5,0,35.4,0,468.2,0,48.4,0,362.1,0,304.0,0,303.3,0,446.0,0,301.0,0,301.0,0,5.5,0,55.9,0,102.4,0,-83.9,0,18.5,0,27.0,0,52.5,0,2.1,0,35.5,0,991.2,0
2005,190,7,9,0,21,0.350,79.51,117.0,0,33.4,0,454.3,0,46.4,0,361.4,0,303.8,0,303.2,0,444.9,0,301.0,0,300.9,0,5.1,0,52.4,0,95.7,0,-83.4,0,12.2,0,26.9,0,54.0,0,1.9,0,33.3,0,991.2,0
2005,190,7,9,0,24,0.400,80.05,108.9,0,31.3,0,439.9,0,44.5,0,360.9,0,303.7,0,303.1,0,443.9,0,300.9,0,300.9,0,4.6,0,48.9,0,89.2,0,-83.1,0,6.2,0,26.8,0,54.0,0,2.0,0,30.0,0,991.2,0
2005,190,7,9,0,27,0.450,80.58,99.4,0,28.7,0,415.3,0,42.3,0,360.5,0,303.5,0,302.9,0,442.7,0,300.8,0,300.8,0,4.2,0,44.9,0,81.6,0,-82.3,0,-0.7,0,26.7,0,54.4,0,1.9,0,26.8,0,991.2,0
2005,190,7,9,0,30,0.500,81.11,93.6,0,27.4,0,408.1,0,40.9,0,360.4,0,303.4,0,302.8,0,441.7,0,300.7,0,300.7,0,3.8,0,42.3,0,76.6,0,-81.3,0,-4.7,0,26.7,0,54.7,0,1.9,0,19.9,0,991.2,0
2005,190,7,9,0,33,0.550,81.63,86.1,0,25.4,0,390.2,0,39.2,0,360.4,0,303.2,0,302.6,0,440.6,0,300.6,0,300.6,0,3.5,0,39.3,0,70.6,0,-80.2,0,-9.6,0,26.7,0,54.5,0,1.9,0,16.0,0,991.2,0
2005,190,7,9,0,36,0.600,82.16,79.0,0,23.6,0,374.3,0,37.4,0,359.7,0,303.0,0,302.4,0,439.2,0,300.5,0,300.5,0,3.1,0,36.1,0,64.9,0,-79.5,0,-14.6,0,26.7,0,55.4,0,1.8,0,12.9,0,991.2,0
2005,190,7,9,0,39,0.650,82.68,71.9,0,21.8,0,357.8,0,35.3,0,359.4,0,302.9,0,302.2,0,437.7,0,300.4,0,300.4,0,2.8,0,32.8,0,59.1,0,-78.4,0,-19.3,0,26.5,0,56.6,0,1.9,0,13.6,0,991.2,0
2005,190,7,9,0,42,0.700,83.20,65.2,0,20.0,0,341.5,0,33.2,0,359.2,0,302.7,0,302.1,0,436.4,0,300.3,0,300.3,0,2.5,0,29.6,0,53.7,0,-77.2,0,-23.5,0,26.5,0,56.8,0,1.8,0,15.5,0,991.2,0
2005,190,7,9,0,45,0.750,83.71,58.7,0,18.2,0,324.2,0,31.3,0,358.8,0,302.5,0,301.9,0,434.9,0,300.2,0,300.1,0,2.2,0,26.5,0,48.6,0,-76.0,0,-27.4,0,26.4,0,57.6,0,1.7,0,19.7,0,991.1,0
2005,190,7,9,0,48,0.800,84.22,49.8,0,15.1,0,279.2,0,29.1,0,358.4,0,302.3,0,301.7,0,433.1,0,300.1,0,300.0,0,1.9,0,23.1,0,42.1,0,-74.7,0,-32.6,0,26.3,0,58.3,0,1.6,0,23.6,0,991.2,0
2005,190,7,9,0,51,0.850,84.73,45.1,0,14.0,0,277.1,0,26.7,0,358.0,0,302.1,0,301.5,0,431.3,0,300.0,0,299.9,0,1.7,0,20.6,0,38.2,0,-73.2,0,-35.1,0,26.2,0,58.6,0,1.6,0,24.0,0,991.2,0
2005,190,7,9,0,54,0.900,85.24,30.4,0,8.1,0,152.4,0,22.9,0,357.6,0,301.8,0,301.3,0,429.2,0,299.9,0,299.8,0,1.5,0,16.2,0,27.5,0,-71.6,0,-44.1,0,26.1,0,59.4,0,1.7,0,26.0,0,991.2,0
2005,190,7,9,0,57,0.950,85.74,22.2,0,5.3,0,98.5,0,18.6,0,357.3,0,301.5,0,300.9,0,426.6,0,299.7,0,299.6,0,1.3,0,13.0,0,20.7,0,-69.4,0,-48.7,0,26.0,0,60.0,0,1.7,0,25.3,0,991.2,0
2005,190,7,9,1,0,1.000,86.23,21.0,0,5.7,0,125.4,0,16.4,0,356.5,0,301.2,0,300.6,0,424.6,0,299.6,0,299.5,0,1.1,0,11.6,0,19.0,0,-68.0,0,-49.1,0,25.8,0,60.4,0,1.7,0,25.8,0,991.2,0
2005,190,7,9,1,3,1.050,86.72,18.8,0,6.2,0,156.4,0,14.8,0,356.1,0,300.9,0,300.3,0,423.2,0,299.4,0,299.3,0,1.0,0,10.4,0,17.6,0,-67.1,0,-49.5,0,25.7,0,59.6,0,1.7,0,23.4,0,991.3,0
2005,190,7,9,1,6,1.100,87.20,12.4,0,4.1,0,91.9,0,12.8,0,356.0,0,300.6,0,300.0,0,421.8,0,299.2,0,299.2,0,0.8,0,8.6,0,13.1,0,-65.7,0,-52.6,0,25.8,0,57.9,0,1.7,0,23.1,0,991.3,0
2005,190,7,9,1,9,1.150,87.68,9.3,0,3.1,0,62.8,0,10.4,0,355.6,0,300.3,0,299.7,0,420.1,0,299.1,0,299.0,0,0.7,0,7.1,0,9.9,0,-64.5,0,-54.6,0,25.7,0,58.4,0,1.6,0,22.2,0,991.4,0
2005,190,7,9,1,12,1.200,88.14,7.2,0,1.2,0,8.0,0,8.0,0,355.5,0,300.0,0,299.4,0,418.6,0,298.9,0,298.8,0,0.6,0,5.7,0,7.1,0,-63.1,0,-56.0,0,25.7,0,57.9,0,1.6,0,21.5,0,991.4,0
2005,190,7,9,1,15,1.250,88.59,5.0,0,0.7,0,6.2,0,5.5,0,355.2,0,299.7,0,299.1,0,417.1,0,298.8,0,298.7,0,0.4,0,4.5,0,4.9,0,-62.0,0,-57.1,0,25.6,0,59.0,0,1.5,0,19.7,0,991.4,0
2005,190,7,9,1,18,1.300,89.02,3.7,0,0.5,0,5.8,0,4.2,0,355.0,0,299.4,0,298.8,0,416.1,0,298.6,0,298.5,0,0.3,0,3.5,0,3.8,0,-61.1,0,-57.3,0,25.6,0,59.1,0,1.6,0,19.1,0,991.4,0
2005,190,7,9,1,21,1.350,89.43,2.7,0,0.4,0,0.1,0,3.3,0,354.6,0,299.1,0,298.5,0,414.9,0,298.5,0,298.4,0,0.3,0,2.7,0,2.9,0,-60.3,0,-57.4,0,25.6,0,58.8,0,1.8,0,22.2,0,991.4,0
2005,190,7,9,1,24,1.400,89.80,1.8,0,0.3,0,-1.6,0,2.2,0,354.0,0,298.8,0,298.2,0,413.5,0,298.4,0,298.3,0,0.2,0,2.2,0,2.0,0,-59.4,0,-57.5,0,25.5,0,59.5,0,1.8,0,20.9,0,991.4,0
2005,190,7,9,1,27,1.450,90.98,0.7,0,0.0,0,-3.2,0,1.2,0,353.6,0,298.4,0,297.9,0,412.5,0,298.2,0,298.1,0,0.0,0,1.7,0,1.2,0,-58.8,0,-57.6,0,25.4,0,60.2,0,1.7,0,17.7,0,991.4,0
2005,190,7,9,1,30,1.500,91.47,-0.1,0,-0.3,0,-3.6,0,0.5,0,353.9,0,298.1,0,297.7,0,411.9,0,298.1,0,298.0,0,0.0,0,1.2,0,0.5,0,-58.0,0,-57.5,0,25.3,0,59.9,0,1.7,0,16.7,0,991.5,0
2005,190,7,9,1,33,1.550,91.96,-1.0,0,-0.5,0,-3.7,0,-0.2,0,353.9,0,297.9,0,297.4,0,411.3,0,298.0,0,297.9,0,0.0,0,0.8,0,0.0,0,-57.3,0,-57.3,0,25.4,0,59.0,0,1.8,0,15.1,0,991.5,0
2005,190,7,9,1,36,1.600,92.45,-1.5,0,-0.5,0,-3.9,0,-0.8,0,353.9,0,297.7,0,297.2,0,410.8,0,297.9,0,297.8,0,0.0,0,0.5,0,0.0,0,-56.9,0,-56.9,0,25.4,0,58.3,0,2.0,0,12.4,0,991.5,0
2005,190,7,9,1,39,1.650,92.93,-2.0,0,-0.5,0,-4.1,0,-1.1,0,353.9,0,297.4,0,297.0,0,410.3,0,297.8,0,297.8,0,0.0,0,0.4,0,0.0,0,-56.4,0,-56.4,0,25.5,0,56.6,0,2.2,0,12.8,0,991.5,0
2005,190,7,9,1,42,1.700,93.41,-2.1,0,-0.5,0,-4.7,0,-1.3,0,353.4,0,297.2,0,296.7,0,409.6,0,297.8,0,297.7,0,0.0,0,0.2,0,0.0,0,-56.3,0,-56.3,0,25.6,0,55.6,0,2.1,0,13.4,0,991.5,0
2005,190,7,9,1,45,1.750,93.89,-2.2,0,-0.5,0,-5.3,0,-1.4,0,352.2,0,296.9,0,296.5,0,408.5,0,297.7,0,297.7,0,0.0,0,0.1,0,0.0,0,-56.3,0,-56.3,0,25.5,0,56.2,0,1.8,0,14.5,0,991.5,0
