YEAR,DDD,MM,DD,HH,mm,hh.mmm,ZNAGL,dw_psp,qc,uw_psp,qc,direct,qc,diffuse,qc,dw_pir,qc,dwCasTmp,qc,dwDomTmp,qc,uw_pir,qc,uwCastmp,qc,uwDomtmp,qc,uvb,qc,par,qc,netSolar,qc,netIr,qc,totalNet,qc,temp,qc,rh,qc,windSp,qc,winsDir,qc,Baro,qc
2016,2,1,2,0,0,0.000,105.00,-3.8,0,0.0,0,0.8,0,-0.4,0,222.2,0,272.2,0,271.7,0,297.9,0,271.2,0,271.2,0,0.0,0,0.2,0,0.0,0,-75.7,0,-75.7,0,-1.8,0,85.2,0,3.8,0,228.7,0,997.7,0
2016,2,1,2,0,1,0.017,105.18,-3.8,0,0.0,0,0.8,0,-0.4,0,222.4,0,272.2,0,271.7,0,298.1,0,271.2,0,271.1,0,0.0,0,0.2,0,0.0,0,-75.7,0,-75.7,0,-1.8,0,85.3,0,4.2,0,228.1,0,997.7,0
2016,2,1,2,0,2,0.033,105.36,-3.8,0,-0.1,0,0.8,0,-0.4,0,222.3,0,272.1,0,271.7,0,298.4,0,271.1,0,271.1,0,0.0,0,0.2,0,0.0,0,-76.1,0,-76.1,0,-1.8,0,85.4,0,4.7,0,224.8,0,997.7,0
2016,2,1,2,0,3,0.050,105.55,-3.8,0,-0.4,0,0.8,0,-0.4,0,222.5,0,272.1,0,271.7,0,299.0,0,271.1,0,271.1,0,0.0,0,0.1,0,0.0,0,-76.4,0,-76.4,0,-1.7,0,85.2,0,4.8,0,223.1,0,997.6,0
2016,2,1,2,0,4,0.067,105.73,-3.8,0,-0.4,0,1.1,0,-0.4,0,222.6,0,272.1,0,271.7,0,299.0,0,271.1,0,271.1,0,0.0,0,0.1,0,0.0,0,-76.5,0,-76.5,0,-1.7,0,85.1,0,4.9,0,224.3,0,997.6,0
2016,2,1,2,0,5,0.083,105.91,-3.8,0,-0.4,0,1.2,0,-0.4,0,222.7,0,272.1,0,271.7,0,299.1,0,271.1,0,271.1,0,0.0,0,0.1,0,0.0,0,-76.4,0,-76.4,0,-1.7,0,85.2,0,5.0,0,224.3,0,997.6,0
2016,2,1,2,0,6,0.100,106.10,-3.8,0,-0.4,0,1.1,0,-0.4,0,222.8,0,272.1,0,271.7,0,299.1,0,271.1,0,271.1,0,0.0,0,0.2,0,0.0,0,-76.3,0,-76.3,0,-1.7,0,85.1,0,4.9,0,224.9,0,997.6,0
2016,2,1,2,0,7,0.117,106.28,-3.8,0,-0.4,0,0.9,0,-0.4,0,223.0,0,272.1,0,271.7,0,299.1,0,271.1,0,271.1,0,0.0,0,0.1,0,0.0,0,-76.0,0,-76.0,0,-1.7,0,85.2,0,4.8,0,225.1,0,997.6,0
2016,2,1,2,0,8,0.133,106.46,-3.8,0,-0.4,0,1.2,0,-0.4,0,223.1,0,272.1,0,271.8,0,299.5,0,271.1,0,271.2,0,0.0,0,0.2,0,0.0,0,-76.5,0,-76.5,0,-1.7,0,85.2,0,5.3,0,227.9,0,997.6,0
2016,2,1,2,0,9,0.150,106.64,-3.8,0,-0.4,0,1.2,0,-0.4,0,223.1,0,272.1,0,271.8,0,299.5,0,271.2,0,271.2,0,0.0,0,0.2,0,0.0,0,-76.5,0,-76.5,0,-1.7,0,85.0,0,4.9,0,226.7,0,997.5,0
2016,2,1,2,0,10,0.167,106.83,-3.8,0,-0.4,0,1.2,0,-0.4,0,223.1,0,272.1,0,271.8,0,299.4,0,271.2,0,271.2,0,0.0,0,0.2,0,0.0,0,-76.2,0,-76.2,0,-1.7,0,85.1,0,4.9,0,225.6,0,997.5,0
2016,2,1,2,0,11,0.183,107.01,-3.9,0,-0.4,0,1.2,0,-0.4,0,223.2,0,272.1,0,271.8,0,299.5,0,271.2,0,271.2,0,0.0,0,0.2,0,0.0,0,-76.3,0,-76.3,0,-1.7,0,85.2,0,4.8,0,224.9,0,997.6,0
