"YEAR", "DDD", "MM", "DD", "HH", "mm", "hh_mmm", "ZNAGL", "dw_psp", "qc", "uw_psp", "qc", "direct", "qc", "diffuse", "qc", "dw_pir", "qc", "dwCasTmp", "qc", "dwDomTmp", "qc", "uw_pir", "qc", "uwCastmp", "qc", "uwDomtmp", "qc", "uvb", "qc", "par", "qc", "netSolar", "qc", "netIr", "qc", "totalNet", "qc", "temp", "qc", "rh", "qc", "windSp", "qc", "winsDir", "qc", "Baro", "qc"
1995,1,1,1,0,0,0.000,104.93,-5.9,0,0.3,0,-2.1,0,-9999.9,1,324.9,0,277.0,0,276.0,0,316.5,0,273.8,0,273.9,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,3,0.050,105.48,-6.1,0,0.4,0,-2.2,0,-9999.9,1,324.1,0,276.9,0,276.0,0,316.1,0,273.8,0,273.9,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,6,0.100,106.03,-6.1,0,0.3,0,-2.0,0,-9999.9,1,323.9,0,276.9,0,275.9,0,315.3,0,273.7,0,273.8,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,9,0.150,106.58,-6.0,0,0.3,0,-1.9,0,-9999.9,1,323.2,0,276.8,0,276.0,0,315.4,0,273.7,0,273.8,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,12,0.200,107.13,-6.0,0,0.2,0,-1.5,0,-9999.9,1,323.3,0,276.8,0,275.9,0,315.4,0,273.6,0,273.7,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,15,0.250,107.68,-5.9,0,0.2,0,-1.3,0,-9999.9,1,323.3,0,276.7,0,275.8,0,315.5,0,273.6,0,273.7,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,18,0.300,108.23,-5.9,0,0.2,0,-1.2,0,-9999.9,1,323.4,0,276.7,0,275.7,0,315.2,0,273.6,0,273.7,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,21,0.350,108.79,-5.8,0,0.2,0,-1.3,0,-9999.9,1,323.6,0,276.6,0,275.6,0,315.1,0,273.5,0,273.6,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,24,0.400,109.34,-5.9,0,0.2,0,-1.3,0,-9999.9,1,323.1,0,276.5,0,275.6,0,315.0,0,273.5,0,273.6,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,27,0.450,109.90,-5.8,0,0.2,0,-2.0,0,-9999.9,1,326.5,0,276.5,0,275.1,0,314.8,0,273.5,0,273.6,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,30,0.500,110.46,-5.8,0,0.2,0,-1.6,0,-9999.9,1,323.0,0,276.4,0,275.4,0,314.7,0,273.4,0,273.5,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,33,0.550,111.02,-5.9,0,0.2,0,-1.1,0,-9999.9,1,322.4,0,276.3,0,275.4,0,314.5,0,273.4,0,273.5,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,36,0.600,111.58,-5.8,0,0.1,0,-1.0,0,-9999.9,1,322.5,0,276.3,0,275.4,0,314.5,0,273.4,0,273.5,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,39,0.650,112.14,-5.8,0,0.1,0,-0.9,0,-9999.9,1,323.0,0,276.3,0,275.3,0,314.5,0,273.4,0,273.5,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,42,0.700,112.70,-5.6,0,0.0,0,-0.9,0,-9999.9,1,324.5,0,276.2,0,275.0,0,314.5,0,273.3,0,273.4,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,45,0.750,113.26,-5.7,0,0.1,0,-0.9,0,-9999.9,1,322.7,0,276.2,0,275.3,0,314.4,0,273.3,0,273.4,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,48,0.800,113.82,-5.7,0,0.0,0,-0.8,0,-9999.9,1,323.4,0,276.2,0,275.2,0,314.4,0,273.3,0,273.4,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,51,0.850,114.39,-5.7,0,0.0,0,-0.8,0,-9999.9,1,324.2,0,276.2,0,275.1,0,314.3,0,273.3,0,273.4,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,54,0.900,114.95,-5.6,0,0.0,0,-0.9,0,-9999.9,1,324.3,0,276.1,0,275.0,0,314.2,0,273.3,0,273.4,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,0,57,0.950,115.52,-5.5,0,0.0,0,-0.9,0,-9999.9,1,323.7,0,276.1,0,275.0,0,314.1,0,273.3,0,273.4,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
1995,1,1,1,1,0,1.000,116.08,-5.5,0,0.0,0,-0.8,0,-9999.9,1,323.4,0,276.1,0,275.0,0,314.2,0,273.2,0,273.3,0,0.0,0,0.5,0,0.0,0,0.0,0,0.0,0,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1,-9999.9,1
